,0,1
0,agu,lion
1,bekee,English
2,Chere,wait
3,obu,bedroom
4,di,husband
5,ebe,point
6,udo,peace
7, nkita,Dog
8,Ji,Yam
9,Nri,Food
10,ofe,soup
11,Oche,Chair
12,iri,ten
13,otu,one
14,mba,no
15,papa,father
16,okporoko,stockfish
17,Akpa,Bag
18,okwu,word
19,enwe,monkey
20,ole,number
21,Uzo,Road
22,Eze,King
23,Nti,Ear
24,mkpu,short
25,olee oge,when
26,etiti,center
27,mma,good
28,gwuo mmiri,swim
29,onye igbo,igbo man
30,onye isi,boss
31,Aka,Hand
32,oyi,cold
33,ime,interior
34,Ekpere,Prayer
35,Nwoke,Man
36,ili,bury
37,mgbu,pain
38,ise,five
39,oge,time
40,Nwa,Child
41,puku,"1,000"
42,ula,sleep
43,urukpu,cloud
44,ngozi,blessing
45,imu nwa,to give birth
46,jide,hold
47,mmiri,water
48,azu,fish
49,ikuku,air
50,efele,plate
51,tolotolo,turkey
52,igwu egwu,play
53,obere,small
54,njedebe,end
55,tinye,put
56,weputa,remove
57,obodo,town
58,tata,today
59,Efe,Cloth
60,Elu,Up
61,Ihunanya,Love
62,ala,land
63,ebe a,here
64,maka,about
65,nnukwu,big
66,elu,high
67,Iheoma,good thing
68,na-eso,follow
69,kodi,bye
70,nsogbu,trouble
71,onye nkuzi,teacher
72,mgbanwe,change
73,ogologo,talk
74,onyinye,gift
75,Uche,thought
76,anya,Eye
77,mkpa,need
78,chukwu,God
79,foto,picture
80,ewu,goat
81,biko,please
82,gbachie,close
83,Igwe,King
84,nne,mother
85,Osiso,fast
86,ka chi foo,goodnight
87,onwe,self
88,Oku,Light
